REGION,STATE,NAME,POPESTIMATE2018,LST
0,0,United States,327167434,
3,1,Alabama,4887871,AL
4,2,Alaska,737438,AK
4,4,Arizona,7171646,AZ
3,5,Arkansas,3013825,AR
4,6,California,39557045,CA
4,8,Colorado,5695564,CO
1,9,Connecticut,3572665,CT
3,10,Delaware,967171,DE
3,11,District of Columbia,702455,
3,12,Florida,21299325,FL
3,13,Georgia,10519475,GA
4,15,Hawaii,1420491,HI
4,16,Idaho,1754208,ID
2,17,Illinois,12741080,IL
2,18,Indiana,6691878,IN
2,19,Iowa,3156145,IA
2,20,Kansas,2911505,KS
3,21,Kentucky,4468402,KY
3,22,Louisiana,4659978,LA
1,23,Maine,1338404,ME
3,24,Maryland,6042718,MD
1,25,Massachusetts,6902149,MA
2,26,Michigan,9995915,MI
2,27,Minnesota,5611179,MN
3,28,Mississippi,2986530,MS
2,29,Missouri,6126452,MO
4,30,Montana,1062305,MT
2,31,Nebraska,1929268,NE
4,32,Nevada,3034392,NV
1,33,New Hampshire,1356458,NH
1,34,New Jersey,8908520,NJ
4,35,New Mexico,2095428,NM
1,36,New York,19542209,NY
3,37,North Carolina,10383620,NC
2,38,North Dakota,760077,ND
2,39,Ohio,11689442,OH
3,40,Oklahoma,3943079,OK
4,41,Oregon,4190713,OR
1,42,Pennsylvania,12807060,PA
1,44,Rhode Island,1057315,RI
3,45,South Carolina,5084127,SC
2,46,South Dakota,882235,SD
3,47,Tennessee,6770010,TN
3,48,Texas,28701845,TX
4,49,Utah,3161105,UT
1,50,Vermont,626299,VT
3,51,Virginia,8517685,VA
4,53,Washington,7535591,WA
3,54,West Virginia,1805832,WV
2,55,Wisconsin,5813568,WI
4,56,Wyoming,577737,WY
X,72,Puerto Rico Commonwealth,3195153,
